batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,time_sec,transferable_gb,transferable_mb,transferable_tokens_kv,bandwidth_gbps,timestamp
1,4096,OK,flash_attn,0.7155225582420827,0.4642502387613058,64.8826837691728,8.401043333292122,26.716272897535063,0.1707430400699377,0.0032983557321131,0.0601113601773977,0.0021112598478794,0.2935071986913681,0.006993917748332,0.191160959303379,0.0038471133448183,0.0007155225582420827,0.009964109196416621,10.20324781713062,81.62598253704496,13.925639494716622,20260129_092811
2,4096,OK,flash_attn,0.7389215986430645,0.4785164785385132,64.75876187910163,9.197403324331562,26.04383479656681,0.1855424004793167,0.0034972478169947,0.0679615996778011,0.0012817133683711,0.2929740780591964,0.0020717205479741,0.1924435204267501,0.0036646043881773,0.0007389215986430645,0.010289955797563003,10.536914736704516,84.29531789363612,13.925639494716622,20260129_092811
4,4096,OK,flash_attn,0.7434419186413288,0.4644083182513714,62.46733021190102,11.587014126200415,25.945655661898567,0.1680268792808056,0.0043890071101486,0.0861427201330661,0.0020649700891226,0.2963814389705658,0.0022595599293708,0.1928908802568912,0.0036484659649431,0.0007434419186413288,0.01035290414425959,10.60137384372182,84.81099074977456,13.925639494716622,20260129_092811
8,4096,OK,flash_attn,0.7575737600773572,0.455011840686202,60.061721335192495,15.871299430128555,24.06697923467896,0.1553920003026724,0.0031421196181327,0.120236799865961,0.0020867858547717,0.2996198403835297,0.0025720261037349,0.1823251195251941,0.004312539473176,0.0007575737600773572,0.010549699073494219,10.80289185125808,86.42313481006464,13.925639494716622,20260129_092811
16,4096,OK,flash_attn,0.7703577609360218,0.442651519998908,57.46051282212892,24.95148231471726,17.588004863153824,0.1563027205318212,0.0032233477104455,0.1922156804800033,0.0020488244481384,0.2863487994670868,0.0051317159086465,0.1354905604571104,0.002699201926589,0.0007703577609360218,0.01072772446075213,10.985189847810181,87.88151878248145,13.925639494716622,20260129_092811
32,4096,OK,flash_attn,1.0631379184499383,0.4178400008007884,39.30252073127085,47.8795149018476,12.81796436688154,0.1536134396120906,0.003304639365524,0.5090252780914306,0.0035962343681603,0.2642265611886978,0.0011366748949512,0.1362726395577192,0.0028446360956877,0.0010631379184499383,0.01480487538549728,15.160192394749215,121.28153915799372,13.925639494716622,20260129_092811
64,4096,OK,flash_attn,1.4359443243592978,0.4941228821873664,34.41100562222972,52.08843750894349,13.50055686882679,0.2286457601189613,0.0610633492469787,0.7479609620571136,0.0156145701184868,0.2654771220684051,0.0010979300132021,0.1938604801148176,0.0483327470719814,0.0014359443243592976,0.01999644299551201,20.476357627404298,163.81086101923438,13.925639494716622,20260129_092811
1,8192,OK,flash_attn,0.7266937606036663,0.4632524803280831,63.74796447175467,9.630466679124734,26.621568849120607,0.1697670403122902,0.0030005173757672,0.0699840004742145,0.0017746684607118,0.2934854400157928,0.0125813875347375,0.1934572798013687,0.0149829806759953,0.0007266937606036664,0.010119675333226563,10.362547541224,82.900380329792,13.925639494716622,20260129_092811
2,8192,OK,flash_attn,0.7355135987699032,0.4539142389595508,61.71391524489714,11.682416241366369,26.60366851373649,0.1681759990751743,0.0039714807644486,0.0859257601201534,0.0013135784538462,0.2857382398843765,0.0017701938049867,0.1956735996901989,0.0148381860926747,0.0007355135987699032,0.010242497219931318,10.48831715320967,83.90653722567735,13.925639494716622,20260129_092811
4,8192,OK,flash_attn,0.7492448001727462,0.44407807957381,59.27009162711884,15.931476689126484,24.79843168375468,0.1545759994909167,0.0032483923714607,0.1193657606840133,0.0015672565205022,0.2895020800828933,0.0025108547415584,0.1858009599149227,0.0046215900219976,0.0007492448001727462,0.010433712980496659,10.684122092028579,85.47297673622863,13.925639494716622,20260129_092811
8,8192,OK,flash_attn,0.7596255990117787,0.4425151982530951,58.2543820046056,24.96059114315089,16.785026852243522,0.1556140794977545,0.0034368589986115,0.1896070399880409,0.0025528902187943,0.2869011187553406,0.0040882723405957,0.1275033607706427,0.0027286887634545,0.0007596255990117788,0.010578272242796198,10.832150776623306,86.65720621298645,13.925639494716622,20260129_092811
16,8192,OK,flash_attn,0.9037056025490164,0.4206432009860873,46.546485913068345,38.722132567084905,14.731381519846758,0.155719680301845,0.0040706838481128,0.3499340814352035,0.0030226956587284,0.2649235206842422,0.0014090109616518,0.1331283201277256,0.0037561340723186,0.0009037056025490164,0.012584678430453265,12.886710712784144,103.09368570227315,13.925639494716622,20260129_092811
32,8192,OK,flash_attn,1.4762239995598794,0.4448089583218098,30.13153548881639,60.65780815063877,9.210656360544837,0.1853164817392826,0.2194422036409378,0.8954451215267182,0.0030242726206779,0.2594924765825271,0.0063021229580044,0.1359699197113514,0.0126098738983273,0.0014762239995598793,0.020557363231319587,21.050739948871257,168.40591959097006,13.925639494716622,20260129_092811
