batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb
32,4096,OK,manual,6.536114568524063,0.4147392004355788,6.345347776381346,91.5862037912112,2.0684484324074455,0.1575129598006606,0.006963161751627922,5.986179208755493,0.012612288817763329,0.2572262406349182,0.0007478859624825418,0.13519615933299065,0.0057090092450380325,
64,4096,OK,manual,12.474247089363633,0.4243903974071145,3.402132364116611,95.49534402426221,1.1025236116211945,0.15717119965702295,0.008173689246177673,11.912325172424316,0.008690988644957542,0.26721919775009156,0.019036561250686646,0.13753151953220366,0.006462306249886751,
1,8192,OK,manual,0.9596467196196318,0.4190080003067851,43.66273460225699,44.172522130374716,12.16474326736829,0.1451923195645213,0.009542282670736313,0.42390015959739685,0.021839620545506477,0.2738156807422638,0.0011028177104890347,0.11673855971544982,0.006303844973444939,
2,8192,OK,manual,1.3731699236482382,0.41456576097756626,30.190419542262315,60.70038003721586,9.109200420521825,0.1588774399831891,0.005169531796127558,0.8335193622112275,0.020137595012784004,0.25568832099437716,0.026076393201947212,0.12508480045944453,0.005306124687194824,
4,8192,OK,manual,2.100217601619661,0.4148396787047386,19.75222369266973,74.23818948655273,6.009586820777542,0.16000063985586166,0.00594782130792737,1.5591635227203369,0.012739241123199463,0.25483903884887693,0.0014285999350249767,0.12621440019458532,0.00401069363579154,
8,8192,OK,manual,3.588681596964598,0.4214560005441308,11.74403438021945,84.6278655324956,3.6281000872849405,0.1622540805116296,0.018294252455234528,3.0370246362686157,0.02635742537677288,0.2592019200325012,0.0013681704876944423,0.13020096015185117,0.011275926604866982,
16,8192,OK,manual,6.5585177430138,0.4241952000185847,6.467851679908036,91.45770886706356,2.074439453028398,0.15881087999790908,0.0059047057293355465,5.998270063400269,0.010392328724265099,0.26538432002067563,0.016289204359054565,0.1360524795949459,0.007581664249300957,
32,8192,OK,manual,12.493516826964916,0.4230758384987712,3.3863630582034454,95.50482248689057,1.1088144549059737,0.16483775954693555,0.02791835181415081,11.931911067962647,0.03314767777919769,0.25823807895183565,0.0010123508982360363,0.13852992050349713,0.004635002929717302,
64,8192,OK,manual,24.395122492201626,0.43049407895654435,1.7646727500309134,97.62292417759636,0.6124030723727228,0.16587135966867209,0.02834373340010643,23.81523193359375,0.04842846468091011,0.2646227192878723,0.0010680367704480886,0.1493964796513319,0.042772721499204636,
1,16384,OK,manual,1.306495999880135,0.4246252807974815,32.501077755801695,58.020280130684505,9.478642113513798,0.1510867193341255,0.0049626524560153484,0.7580326390266419,0.002689715940505266,0.27353856146335603,0.0013805828057229519,0.12383808005601167,0.015021207742393017,
2,16384,OK,manual,2.16135807197541,0.43782527826726436,20.256952512598087,73.89845550911977,5.844591978282138,0.1644710388034582,0.0047344304621219635,1.5972102332115172,0.008177426643669605,0.27335423946380616,0.0067189945839345455,0.1263225604966283,0.003364167409017682,
4,16384,OK,manual,3.5875539055839183,0.41902911797165865,11.680078655248987,84.8063518503315,3.5135694944195097,0.16442303910851477,0.028254428878426552,3.0424735879898073,0.025755638256669044,0.2546060788631439,0.0012780273100361228,0.12605119962245226,0.005111382342875004,
8,16384,OK,manual,6.544364149831235,0.42280320208519695,6.460569619985161,91.56222011089612,1.977210269118727,0.16430464070290327,0.007208691444247961,5.99216510772705,0.0158705972135067,0.2584985613822937,0.0008068241295404732,0.12939584001898766,0.0025459271855652332,
16,16384,OK,manual,12.485793920308351,0.42743359953165055,3.423359397566403,95.47348096437426,1.1031596380593438,0.16369023948907852,0.0056795403361320496,11.920622081756592,0.029061706736683846,0.26374336004257204,0.0011716679437085986,0.13773823902010918,0.004132544156163931,
32,16384,OK,manual,24.328201621174813,0.4197132796794176,1.7252129286618,97.7009148140199,0.5738722573182993,0.15922368057072162,0.004817947279661894,23.768875541687013,0.04079921543598175,0.26048959910869596,0.01951855607330799,0.13961279980838298,0.004843421280384064,
64,16384,OK,manual,48.03876429028809,0.4299539192020893,0.8950145274428141,98.80046739819754,0.30451807435964595,0.1649113602936268,0.018710708245635033,47.46252365112305,0.07714495807886124,0.2650425589084625,0.0012916531413793564,0.14628671996295453,0.02411521039903164,
